,Name,Pass,point_longitude,point_latitude,24 hr,48 hr,Base,YTD
0,alta,Ikon,40.5883,-111.6358,0,0,15,405
1,beaver-mountain,NA,41.968,-111.541,0,0,0,0
2,brian-head,NA,37.7021,-112.8499,0,0,0,0
3,brighton,Ikon,40.598,-111.5832,0,0,13,33
4,cherry,NA,41.9263,-111.7564,0,0,0,0
5,deer-valley,Ikon,40.6374,-111.4783,0,0,0,0
6,eagle-point,NA,38.3203,-112.3839,0,0,0,0
7,nordic-valley,NA,41.3104,-111.8648,0,0,0,0
8,park-city-mountain,Epic,40.6514,-111.508,0,0,0,0
9,powder-mountain,NA,41.379,-111.781,0,0,0,0
10,snowbasin,NA,41.216,-111.8569,0,0,80,20
11,snowbird,NA,40.5763,-111.6646,0,0,0,39
12,solitude,NA,40.6199,-111.5919,0,0,0,0
13,sundance,NA,40.3934,-111.5888,0,0,0,0
